Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2018,Arlington,Arlington-2018,0,Fully,24,1,30,200000,495000,AR1R3,0,0,0,83.97,5647,1863.5,2484.7,3105.8,219.2,114.5,333.7,1529.8,2150.9,2772.1,0
2018,Arlington,Arlington-2018,0,Fully,24,4,30,200000,495000,AR1R3,0,0,0,84.61,5690,1877.7,2503.6,3129.5,219.2,114.5,333.7,1544,2169.9,2795.8,0
2018,Arlington,Arlington-2018,0,Fully,21,3,30,170000,420000,AR1R3,0,0,0,87.56,5888.4,1943.2,2590.9,3238.6,186,114.5,300.5,1642.7,2290.4,2938.1,0
2018,Arlington,Arlington-2018,0,Fully,21,1,30,170000,420000,AR1R3,0,0,0,91.56,6157.4,2031.9,2709.3,3386.6,186,114.5,300.5,1731.4,2408.7,3086.1,0
2019,Arlington,Arlington-2019,0,Fully,3,2,15,110000,270000,AR1R3,0,0,0,55.99,3765.3,1242.6,1656.7,2070.9,119.6,114.5,234.1,1008.5,1422.7,1836.8,0
2019,Arlington,Arlington-2019,0,Fully,3,1,15,110000,270000,AR1R3,0,0,0,59.16,3978.5,1312.9,1750.5,2188.2,119.6,114.5,234.1,1078.8,1516.5,1954.1,0
2019,Arlington,Arlington-2019,0,Fully,6,2,15,140000,345000,AR1R3,2.08,3,2.08,60.43,4063.9,1341.1,1788.1,2235.2,152.8,114.5,267.3,1073.8,1520.8,1967.9,0.208
2019,Arlington,Arlington-2019,0,Fully,6,1,15,140000,345000,AR1R3,0,0,0,66.17,4449.9,1468.5,1958,2447.5,152.8,114.5,267.3,1201.2,1690.7,2180.2,0
2019,Arlington,Arlington-2019,0,Fully,6,3,15,140000,345000,AR1R3,0,0,0,66.21,4452.6,1469.4,1959.2,2448.9,152.8,114.5,267.3,1202.1,1691.9,2181.6,0
2019,Arlington,Arlington-2019,0,Fully,3,3,15,110000,270000,AR1R3,0,0,0,67.73,4554.8,1503.1,2004.1,2505.2,119.6,114.5,234.1,1269,1770,2271.1,0
